Company,Price,Change,Market Status
Microsoft Corporation (MSFT),415.06,+0.07,At close: January 31 at 4:00:01 PM EST  After hours: 7:59:58 PM EST
GE Aerospace (GE),203.57,-2.00,At close: January 31 at 4:00:02 PM EST  After hours: 7:59:49 PM EST
Union Pacific Corporation (UNP),247.79,-2.13,At close: January 31 at 4:00:02 PM EST  After hours: 7:28:40 PM EST
Costco Wholesale Corporation (COST),979.88,+0.87,At close: January 31 at 4:00:02 PM EST  After hours: 7:59:37 PM EST
McDonald's Corporation (MCD),293.09,+7.63,At close: 4:00:02 PM EST  After hours: 6:45:48 PM EST
Visa Inc. (V),341.80,-1.25,At close: January 31 at 4:00:02 PM EST  After hours: 7:59:30 PM EST
The Walt Disney Company (DIS),113.06,-0.37,At close: January 31 at 4:00:25 PM EST  After hours: 7:59:39 PM EST
3M Company (MMM),152.20,-2.20,At close: January 31 at 4:00:02 PM EST  After hours: 7:59:30 PM EST
Intel Corporation (INTC),19.72,+0.52,At close: January 15 at 4:00:01 PM EST  Pre-Market: 5:02:54 AM EST
American Express Company (AXP),318.95,+3.70,At close: January 30 at 4:00:02 PM EST  Pre-Market: 8:16:45 AM EST
Apple Inc. (AAPL),236.00,-1.59,At close: January 31 at 4:00:02 PM EST  After hours: 7:59:59 PM EST
The Boeing Company (BA),175.31,-0.25,As of 12:45:21 PM EST. Market Open.
"The Goldman Sachs Group, Inc. (GS)",640.40,-5.30,At close: January 31 at 4:00:02 PM EST  After hours: 7:59:29 PM EST
JPMorgan Chase & Co. (JPM),267.30,-0.93,At close: January 31 at 4:00:02 PM EST  After hours: 7:59:56 PM EST
Verizon Communications Inc. (VZ),39.39,-0.08,At close: January 31 at 4:00:02 PM EST  After hours: 7:59:30 PM EST
NVIDIA Corporation (NVDA),120.07,-4.58,At close: January 31 at 4:00:01 PM EST  After hours: 7:59:59 PM EST
